Ticker,T_action,Winner,FWD10,MAE10,JWarn,B10Warn,DMWarn,JLag,B10Lag,DMLag,JCloseDist,B10CloseDist,DMCloseDist,JLowDist,B10LowDist,DMLowDist,FirstFamily,ComboCount,Combo
2330,2023-05-25,True,2.946593001841613,1.2891344383057168,True,True,False,2.0,10.0,,4.604051565377532,2.946593001841613,,3.8674033149171283,2.20994475138121,,J,2,J+B10
2330,2023-12-19,False,-1.1965811965811923,-1.7094017094017144,True,True,True,10.0,2.0,2.0,-1.1965811965811923,-1.3675213675213627,-1.3675213675213627,-1.538461538461533,-1.7094017094017144,-1.7094017094017144,BIAS10,3,J+B10+DM
2330,2023-12-27,False,-1.0135135135135087,-3.0405405405405372,True,True,True,4.0,4.0,4.0,-2.3648648648648685,-2.3648648648648685,-2.3648648648648685,-2.7027027027026973,-2.7027027027026973,-2.7027027027026973,J,3,J+B10+DM
2330,2023-12-28,False,-1.5177065767284947,-3.204047217537942,True,True,True,3.0,3.0,3.0,-2.5295109612141653,-2.5295109612141653,-2.5295109612141653,-2.866779089376059,-2.866779089376059,-2.866779089376059,J,3,J+B10+DM
2330,2024-01-19,True,1.437699680511173,-1.1182108626198062,True,True,False,3.0,8.0,,0.15974440894568342,0.31948881789136685,,-0.31948881789137795,0.0,,J,2,J+B10
2330,2024-01-25,True,5.607476635514019,-3.5825545171339512,True,True,False,1.0,4.0,,0.31152647975076775,-2.180685358255452,,-0.4672897196261627,-2.492211838006231,,J,2,J+B10
2330,2024-09-20,True,3.802672147995878,-1.6443987667009274,True,True,False,3.0,6.0,,3.288797533401855,-1.6443987667009274,,2.5693730729702047,-1.6443987667009274,,J,2,J+B10
2330,2024-09-24,True,5.876393110435663,-3.039513677811545,True,True,False,1.0,4.0,,1.823708206686936,-3.039513677811545,,1.1144883485308954,-3.039513677811545,,J,2,J+B10
2330,2024-09-25,True,3.9800995024875663,-4.7761194029850795,False,True,False,,3.0,,,-4.7761194029850795,,,-4.7761194029850795,,BIAS10,1,B10_ONLY
2330,2025-01-07,False,-0.8849557522123908,-5.752212389380529,True,True,True,6.0,4.0,4.0,-5.752212389380529,-4.867256637168138,-4.867256637168138,-5.752212389380529,-5.309734513274334,-5.309734513274334,BIAS10,3,J+B10+DM
2330,2025-06-11,True,0.4694835680751241,-4.694835680751175,True,True,True,6.0,8.0,8.0,-2.8169014084507005,-4.225352112676061,-4.225352112676061,-3.2863849765258246,-4.694835680751175,-4.694835680751175,J,3,J+B10+DM
2330,2025-08-12,False,-0.4237288135593209,-3.8135593220338992,True,True,True,2.0,6.0,3.0,-0.4237288135593209,-3.8135593220338992,0.0,-0.4237288135593209,-3.8135593220338992,-0.8474576271186418,J,3,J+B10+DM
2330,2025-09-09,True,11.66666666666667,1.2499999999999956,True,False,False,2.0,,,3.3333333333333437,,,2.9166666666666563,,,J,1,J_ONLY
2330,2025-09-10,True,9.387755102040815,0.8163265306122547,True,False,False,1.0,,,1.2244897959183598,,,0.8163265306122547,,,J,1,J_ONLY
2330,2025-09-11,True,6.451612903225801,0.8064516129032251,True,False,False,2.0,,,1.2096774193548487,,,0.8064516129032251,,,J,1,J_ONLY
2330,2025-09-16,True,3.515625,-1.171875,True,False,False,3.0,,,-1.171875,,,-1.171875,,,J,1,J_ONLY
2330,2025-12-10,False,-0.6644518272425293,-5.980066445182719,True,True,True,1.0,3.0,4.0,-2.3255813953488413,-3.6544850498338888,-4.651162790697672,-2.657807308970095,-3.9867109634551534,-5.3156146179402,J,3,J+B10+DM
2330,2026-04-09,True,6.39386189258313,0.7672634271099765,True,False,False,2.0,,,1.7902813299232712,,,1.0230179028132946,,,J,1,J_ONLY
2454,2021-12-27,False,-5.676855895196509,-6.986899563318783,True,True,True,4.0,7.0,8.0,0.4366812227074135,-0.8733624454148492,-3.9301310043668103,0.0,-3.056768558951961,-4.8034934497816595,J,3,J+B10+DM
2454,2022-02-17,False,-9.292035398230093,-9.292035398230091,True,True,True,1.0,1.0,4.0,-0.8849557522123908,-0.8849557522123908,-0.8849557522123908,-2.212389380530977,-2.212389380530977,-2.6548672566371723,J,3,J+B10+DM
2454,2022-05-30,True,0.2277904328018332,-1.3667425968109326,True,True,False,2.0,9.0,,3.075170842824604,1.0250569476081939,,2.05011389521641,0.7972665148063829,,J,2,J+B10
2454,2022-05-31,False,-2.3204419889502725,-4.3093922651933685,True,True,False,1.0,8.0,,0.0,-1.9889502762430955,,-0.9944751381215422,-2.209944751381221,,J,2,J+B10
2454,2022-06-08,False,-13.2258064516129,-13.440860215053762,True,True,True,1.0,3.0,6.0,-0.6451612903225823,-4.623655913978498,-6.129032258064515,-1.0752688172043001,-4.8387096774193505,-6.5591397849462325,J,3,J+B10+DM
2454,2023-03-06,False,-1.7857142857142905,-5.229591836734693,True,True,True,2.0,4.0,5.0,-2.0408163265306145,-3.57142857142857,-2.5510204081632626,-2.423469387755106,-3.9540816326530615,-5.229591836734693,J,3,J+B10+DM
2454,2023-05-22,True,7.659574468085117,-0.5673758865248235,True,False,False,5.0,,,4.680851063829783,,,4.680851063829783,,,J,1,J_ONLY
2454,2023-05-23,True,5.72625698324023,-2.0949720670391025,True,False,False,4.0,,,3.0726256983240274,,,3.0726256983240274,,,J,1,J_ONLY
2454,2023-09-05,True,7.660167130919215,-2.36768802228412,True,True,False,1.0,3.0,,-0.835654596100277,-1.253481894150421,,-0.835654596100277,-2.36768802228412,,J,2,J+B10
2454,2024-02-15,True,13.683127572016463,-2.1604938271604923,True,False,False,2.0,,,-0.92592592592593,,,-2.1604938271604923,,,J,1,J_ONLY
2454,2025-07-09,True,5.535055350553497,0.36900369003689537,True,False,False,3.0,,,2.2140221402213944,,,2.2140221402213944,,,J,1,J_ONLY
2454,2025-07-10,True,2.1428571428571352,-1.4285714285714235,True,False,False,2.0,,,-1.0714285714285676,,,-1.0714285714285676,,,J,1,J_ONLY
2454,2025-09-09,False,-8.94039735099338,-8.94039735099338,True,True,True,1.0,8.0,9.0,-1.3245033112582738,-4.635761589403975,-6.9536423841059625,-1.655629139072845,-4.635761589403975,-7.284768211920534,J,3,J+B10+DM
2454,2025-09-16,False,-16.28664495114006,-16.28664495114006,True,True,True,1.0,3.0,4.0,-1.6286644951140072,-6.1889250814332275,-8.469055374592838,-1.6286644951140072,-6.1889250814332275,-8.794788273615639,J,3,J+B10+DM
2454,2026-01-05,False,-2.622950819672132,-7.21311475409836,True,True,True,1.0,4.0,4.0,-2.622950819672132,-6.8852459016393475,-6.8852459016393475,-2.950819672131144,-7.21311475409836,-7.21311475409836,J,3,J+B10+DM
0050,2021-12-24,True,3.1457531660253224,0.03495494630623153,True,False,False,3.0,,,2.027258884737737,,,1.3981125182334742,,,J,1,J_ONLY
0050,2021-12-27,True,2.878952015949188,0.10406462825187646,True,False,False,2.0,,,1.248701441534883,,,0.6243560134451043,,,J,1,J_ONLY
0050,2022-06-08,False,-7.220499092706268,-7.336959901964645,True,True,True,1.0,2.0,4.0,-0.3105661069842447,-1.319879299190363,-4.231369913435978,-0.8928583063905537,-1.8633551778057589,-5.201866784851184,J,3,J+B10+DM
0050,2022-11-09,True,10.622008109206792,-1.244022059098382,True,False,False,1.0,,,-0.9569377990430672,,,-1.244022059098382,,,J,1,J_ONLY
0050,2022-11-11,True,7.064217383708438,0.366973876953125,True,False,False,1.0,,,0.917431192660545,,,0.366973876953125,,,J,1,J_ONLY
0050,2023-03-23,False,-0.8206811756443222,-1.395155494075162,True,True,False,2.0,8.0,,-0.3282737225178356,-0.6975777470375921,,-0.5334440164289078,-0.8617114776462653,,J,2,J+B10
0050,2023-05-18,True,2.4559966946577694,-0.8596013414992387,True,False,False,2.0,,,0.12280108391740097,,,-0.0409357766133156,,,J,1,J_ONLY
0050,2023-12-15,True,1.3089005534363984,-1.2341016710143426,True,False,True,2.0,,4.0,-0.224385234559088,,-0.8227306431071835,-0.7105437321812014,,-1.2341016710143426,J,2,J+DM
0050,2024-09-24,True,3.8648615656672094,-1.0810810810810811,True,True,False,1.0,5.0,,1.4864864864864824,-0.7567534575591228,,1.2702735694678946,-0.8918885926942566,,J,2,J+B10
0050,2024-09-25,True,2.423437044877663,-2.5299600532623145,False,True,False,,4.0,,,-2.2103829009237685,,,-2.3435386932007307,,BIAS10,1,B10_ONLY
0050,2025-01-07,False,-2.78864829669655,-5.210368989481429,True,True,True,1.0,4.0,4.0,-1.4921662837785399,-4.892368052155794,-4.892368052155794,-1.638938818375446,-5.0391331215914885,-5.0391331215914885,J,3,J+B10+DM
0050,2025-09-09,True,8.441556787110605,0.9276437585255648,True,False,False,2.0,,,2.8756942359572157,,,2.5046353170749436,,,J,1,J_ONLY
0050,2025-09-10,True,6.278436242108798,0.5459494684172617,True,False,False,1.0,,,0.9099180947368168,,,0.5459494684172617,,,J,1,J_ONLY
0050,2025-09-16,True,2.3788519367772487,-0.8810572687224627,True,True,False,3.0,8.0,,0.4405286343612369,0.8810572687224738,,-0.2643198693901505,0.1762087649710864,,J,2,J+B10
0050,2025-12-08,False,-0.4709564104669272,-3.3751985873283874,True,True,True,1.0,5.0,7.0,-0.1569894625127688,-1.4128752199364603,-2.825744451337253,-0.2354811995012973,-2.040815104380478,-2.9042421768614712,J,3,J+B10+DM
0050,2026-02-11,False,-4.663210643045323,-7.189113525592761,True,True,True,1.0,7.0,8.0,0.2590732973354992,-2.0725369655050563,0.2590732973354992,0.0,-2.2020686728549066,-0.6476684193850724,J,3,J+B10+DM
0050,2026-02-24,False,-1.5113407488356323,-9.760705102095034,True,True,True,1.0,5.0,6.0,2.141054049839153,-4.78589795809925,-2.5188916392503313,1.0705270249195875,-4.911840618299957,-3.4005094782733725,J,3,J+B10+DM
2603,2022-04-21,True,5.841924398625431,-8.591065292096223,True,True,False,2.0,2.0,,-4.123711340206182,-4.123711340206182,,-4.467353951890029,-4.467353951890029,,J,2,J+B10
2603,2022-05-04,False,-9.24092409240924,-10.89108910891089,True,True,True,3.0,5.0,6.0,-2.970297029702973,-4.62046204620462,-8.25082508250825,-2.970297029702973,-4.62046204620462,-8.25082508250825,J,3,J+B10+DM
2603,2022-11-14,True,1.2861736334405238,-5.787781350482312,True,True,False,2.0,4.0,,-0.6430868167202619,-3.2154340836012874,,-1.2861736334405127,-3.5369774919614128,,J,2,J+B10
2603,2022-12-22,False,-7.288629737609331,-9.037900874635573,True,True,True,1.0,4.0,5.0,-2.3323615160349864,-7.288629737609331,-6.705539358600587,-3.498542274052474,-7.288629737609331,-8.163265306122447,J,3,J+B10+DM
2603,2023-03-01,True,7.051282051282048,0.9615384615384581,True,False,False,3.0,,,5.448717948717952,,,3.5256410256410353,,,J,1,J_ONLY
2603,2023-06-12,True,1.2861736334405238,-0.6430868167202619,True,True,False,3.0,7.0,,4.180064308681675,1.6077170418006492,,3.2154340836012762,1.6077170418006492,,J,2,J+B10
2603,2023-06-14,False,-42.10526315789473,-44.582043343653254,True,True,True,1.0,5.0,9.0,0.3095975232198178,-2.1671826625387025,-4.024767801857587,-0.6191950464396245,-2.1671826625387025,-5.263157894736848,J,3,J+B10+DM
2603,2023-09-14,True,5.936073059360725,0.0,True,True,False,2.0,10.0,,6.849315068493156,5.936073059360725,,5.47945205479452,5.47945205479452,,J,2,J+B10
2603,2023-09-15,False,-4.2194092827004255,-5.485232067510548,True,True,False,1.0,9.0,,-1.2658227848101222,-2.1097046413502074,,-2.5316455696202556,-2.5316455696202556,,J,2,J+B10
2603,2023-12-04,True,19.409282700421947,-2.9535864978902926,True,False,False,1.0,,,-0.8438818565400852,,,-2.1097046413502074,,,J,1,J_ONLY
2603,2023-12-08,True,29.11392405063291,0.42194092827003704,True,False,False,4.0,,,8.860759493670889,,,7.594936708860756,,,J,1,J_ONLY
2603,2024-02-29,True,10.876132930513592,-2.4169184290030232,True,False,False,1.0,,,-0.30211480362537513,,,-1.8126888217522619,,,J,1,J_ONLY
2603,2024-04-26,True,9.89304812834224,-8.021390374331549,True,True,True,2.0,4.0,6.0,1.3368983957219305,-3.7433155080213942,-4.8128342245989275,-0.8021390374331583,-4.545454545454541,-4.8128342245989275,J,3,J+B10+DM
2603,2024-08-13,True,2.8011204481792618,0.8403361344537785,True,True,False,5.0,10.0,,5.602240896358546,2.8011204481792618,,5.042016806722693,2.2408963585434094,,J,2,J+B10
2603,2024-08-14,True,0.8264462809917328,-0.27548209366391463,True,True,False,4.0,9.0,,3.8567493112947604,1.1019283746556363,,3.305785123966931,0.5509641873278293,,J,2,J+B10
2603,2024-08-16,True,1.0752688172043,-2.6881720430107503,True,True,False,2.0,7.0,,1.3440860215053752,-1.3440860215053752,,0.8064516129032251,-1.8817204301075252,,J,2,J+B10
2603,2024-09-18,False,-0.5347593582887722,-1.0695187165775444,True,True,False,2.0,10.0,,1.0695187165775444,-0.5347593582887722,,0.5347593582887722,-1.0695187165775444,,J,2,J+B10
2603,2024-09-20,False,0.0,-3.1746031746031744,True,True,True,2.0,8.0,9.0,7.9365079365079305,-1.5873015873015928,-0.5291005291005346,3.9682539682539764,-2.1164021164021163,-3.1746031746031744,J,3,J+B10+DM
2603,2024-09-24,False,-8.823529411764708,-10.29411764705882,True,True,True,2.0,6.0,7.0,0.9803921568627416,-8.823529411764708,-7.843137254901967,0.4901960784313708,-9.313725490196079,-10.29411764705882,J,3,J+B10+DM
2603,2024-09-25,False,-10.739856801909308,-12.649164677804292,True,True,True,1.0,5.0,6.0,-1.670644391408116,-11.217183770883054,-10.262529832935563,-2.1479713603818618,-11.694510739856801,-12.649164677804292,J,3,J+B10+DM
2603,2025-12-19,True,2.156334231805923,-0.5390835579514808,True,True,False,2.0,10.0,,0.26954177897573484,2.156334231805923,,-0.26954177897574594,2.156334231805923,,J,2,J+B10
2603,2025-12-23,True,4.0322580645161255,-0.26881720430107503,True,True,False,7.0,8.0,,2.1505376344086002,1.8817204301075252,,2.1505376344086002,1.8817204301075252,,J,2,J+B10
2603,2026-02-25,True,10.15625,1.041666666666674,True,False,False,2.0,,,9.375,,,4.166666666666674,,,J,1,J_ONLY
2603,2026-05-05,False,-5.288461538461542,-6.009615384615385,True,True,True,3.0,8.0,8.0,1.6826923076923128,-3.605769230769229,-3.605769230769229,1.4423076923076872,-3.605769230769229,-3.605769230769229,J,3,J+B10+DM
2603,2026-05-06,True,0.2358490566037652,-7.783018867924529,True,True,True,2.0,7.0,7.0,-0.2358490566037763,-5.424528301886788,-5.424528301886788,-0.4716981132075526,-5.424528301886788,-5.424528301886788,J,3,J+B10+DM
2382,2023-01-04,True,5.825249190739212,-1.386962581363893,True,True,True,5.0,1.0,1.0,2.080443872045845,-1.2482684395644483,-1.2482684395644483,1.664361446647522,-1.386962581363893,-1.386962581363893,BIAS10,3,J+B10+DM
2382,2023-01-10,True,2.8378357758393147,-0.9459418219489035,True,False,False,1.0,,,-0.5405426025390625,,,-0.9459418219489035,,,J,1,J_ONLY
2382,2023-01-16,True,4.588396215779045,0.0,True,False,False,2.0,,,2.9689671024825337,,,1.7543901194705613,,,J,1,J_ONLY
2382,2023-10-06,False,-17.878192534381142,-21.807465618860512,True,True,True,1.0,1.0,3.0,-6.483300589390961,-6.483300589390961,-11.198428290766206,-6.483300589390961,-6.483300589390961,-12.770137524557956,J,3,J+B10+DM
2382,2023-11-20,False,-6.839622641509435,-8.9622641509434,True,True,True,2.0,2.0,5.0,-1.650943396226412,-1.650943396226412,-7.311320754716977,-1.8867924528301883,-1.8867924528301883,-8.9622641509434,J,3,J+B10+DM
2382,2023-11-21,False,-10.344827586206897,-11.494252873563216,True,True,True,1.0,1.0,4.0,-4.137931034482756,-4.137931034482756,-9.6551724137931,-4.367816091954024,-4.367816091954024,-11.264367816091958,J,3,J+B10+DM
2382,2023-12-21,False,0.0,-3.0162412993039456,True,True,False,1.0,7.0,,-0.23201856148491462,-0.696055684454755,,-0.696055684454755,-0.9280742459396807,,J,2,J+B10
2382,2023-12-28,True,6.451612903225801,-3.686635944700456,True,True,False,2.0,2.0,,-1.382488479262678,-1.382488479262678,,-1.6129032258064502,-1.6129032258064502,,J,2,J+B10
2382,2023-12-29,True,0.8908685968819663,-6.904231625835189,True,True,False,1.0,1.0,,-4.677060133630285,-4.677060133630285,,-4.899777282850781,-4.899777282850781,,J,2,J+B10
2382,2024-03-22,True,11.456310679611658,-2.5242718446601975,True,False,False,1.0,,,-0.9708737864077666,,,-0.9708737864077666,,,J,1,J_ONLY
2382,2024-06-19,False,-2.531645569620256,-7.120253164556967,True,True,True,2.0,6.0,10.0,1.1075949367088667,-3.4810126582278444,-2.5316455696202556,-1.5822784810126556,-5.379746835443033,-3.164556962025311,J,3,J+B10+DM
2382,2024-06-20,False,-6.36363636363636,-11.060606060606059,True,True,True,1.0,5.0,9.0,-3.1818181818181857,-7.57575757575758,-6.666666666666665,-5.757575757575761,-9.393939393939398,-7.272727272727275,J,3,J+B10+DM
2382,2024-10-09,True,11.517367458866534,0.9140767824497242,True,False,False,6.0,,,12.248628884826317,,,10.60329067641681,,,J,1,J_ONLY
2382,2024-10-11,True,9.92907801418439,-1.2411347517730542,True,False,False,5.0,,,8.865248226950362,,,7.2695035460992985,,,J,1,J_ONLY
2382,2026-02-10,True,1.403508771929829,-1.403508771929829,True,True,False,2.0,8.0,,-0.5263157894736858,-1.403508771929829,,-0.8771929824561431,-1.403508771929829,,J,2,J+B10
2382,2026-02-25,False,-3.025210084033614,-8.571428571428575,True,True,True,1.0,4.0,7.0,-2.0168067226890796,-5.5462184873949605,-5.210084033613449,-2.5210084033613467,-5.5462184873949605,-8.571428571428575,J,3,J+B10+DM
2382,2026-03-02,False,-3.9867109634551534,-9.634551495016607,True,True,True,1.0,2.0,5.0,-2.1594684385382035,-6.644518272425248,-6.312292358803983,-2.657807308970095,-6.644518272425248,-9.634551495016607,J,3,J+B10+DM
2382,2026-04-09,True,2.8753993610223683,-1.9169329073482455,True,True,False,1.0,10.0,,2.715654952076685,2.8753993610223683,,-0.31948881789137795,1.2779552715654896,,J,2,J+B10
