Ticker,T_action,FWD10,Winner,MAE10,B3Cross,B5Cross,B10Cross,B20Cross,B3Lag,B5Lag,B10Lag,B20Lag,B3CloseDist,B5CloseDist,B10CloseDist,B20CloseDist,B3LowDist,B5LowDist,B10LowDist,B20LowDist,CascadeDepth,Ordered35,Ordered3510,Ordered351020
2603,2022-12-22,-7.288629737609331,False,-9.037900874635573,True,True,True,True,1,2.0,4.0,8.0,-2.3323615160349864,-5.247813411078717,-7.288629737609331,-9.037900874635573,-3.498542274052474,-5.247813411078717,-7.288629737609331,-9.037900874635573,4,True,True,True
2603,2023-03-01,7.051282051282048,True,0.9615384615384581,True,True,False,False,5,5.0,,,3.205128205128216,3.205128205128216,,,3.205128205128216,3.205128205128216,,,2,True,False,False
2603,2023-06-12,1.2861736334405238,True,-0.6430868167202619,True,True,True,False,5,6.0,7.0,,4.180064308681675,4.5016077170418,1.6077170418006492,,4.180064308681675,4.180064308681675,1.6077170418006492,,3,True,True,False
2603,2023-06-14,-42.10526315789473,False,-44.582043343653254,True,True,True,True,3,4.0,5.0,9.0,0.3095975232198178,0.6191950464396356,-2.1671826625387025,-4.024767801857587,0.3095975232198178,0.3095975232198178,-2.1671826625387025,-5.263157894736848,4,True,True,True
2603,2023-09-14,5.936073059360725,True,0.0,True,True,True,False,3,5.0,10.0,,5.936073059360725,5.47945205479452,5.936073059360725,,4.109589041095885,4.566210045662111,5.47945205479452,,3,True,True,False
2603,2023-09-15,-4.2194092827004255,False,-5.485232067510548,True,True,True,False,2,4.0,9.0,,-2.1097046413502074,-2.5316455696202556,-2.1097046413502074,,-3.797468354430378,-3.3755274261603407,-2.5316455696202556,,3,True,True,False
2603,2023-12-04,19.409282700421947,True,-2.9535864978902926,True,True,False,False,2,3.0,,,-1.2658227848101222,-2.5316455696202556,,,-2.5316455696202556,-2.9535864978902926,,,2,True,False,False
2603,2023-12-08,29.11392405063291,True,0.42194092827003704,True,False,False,False,4,,,,8.860759493670889,,,,7.594936708860756,,,,1,False,False,False
2603,2024-02-29,10.876132930513592,True,-2.4169184290030232,True,True,False,False,4,10.0,,,3.6253776435045237,10.876132930513593,,,3.0211480362537735,8.45921450151057,,,2,True,False,False
2603,2024-04-26,9.89304812834224,True,-8.021390374331549,True,True,True,True,3,3.0,4.0,7.0,-2.941176470588236,-2.941176470588236,-3.7433155080213942,-7.754010695187164,-3.208556149732622,-3.208556149732622,-4.545454545454541,-8.021390374331549,4,True,True,True
2603,2024-08-13,2.8011204481792618,True,0.8403361344537785,True,True,True,False,6,10.0,10.0,,5.042016806722693,2.8011204481792618,2.8011204481792618,,4.201680672268915,2.2408963585434094,2.2408963585434094,,3,True,True,False
